Text_SubjectiveLit,Text_Anxiety,Text_Numeracy,Text_TrustPhys
I read well and have enough basic health knowledge to understand forms and descriptions. If I have questions I feel comfortable asking a doctor or nurse to further explain until I feel I grasp the information.,I don't like waiting for the doctor. I feel uncomfortable. I can also feel anxious about finding what is wrong with me,My daughter has CF. I spoke at length with her doctor about the benefits of adding a new drug to her daily routine.,I trust my PCP because he always explains in depth why he prescribes a drug or treatment. He takes the time to listen to my symptoms and does a thorough exam.
"I work in surgery. I understand the causes and effect, and the terminology. I feel comfortable discussing medical situations with doctors involving myself and my loved ones",Like most people I have a big fear of a cancer diagnosis. So if something is out of the ordinary I am anxious until I find out it is nothing or it goes away,I was at a store and a girl was having what looked to me like an asthma attack. No one knew what to do so I asked if anyone had an inhaler no one did so said call an ambulance knowing that it wouldn't resolve on its own,"We discuss what I should be doing at my age in regards to health screenings and such be he always leaves it up to Me he gives the pros and cons , but he has no agenda other than to inform me which I like"
I feel like anything I don't understand that's given to me by a doctor or nurse would be easily understood after they explain it to me. If I didn't understand it then I would simply ask and that should be enough.,I guess whether or not something will be wrong with me that I'm not aware of. I don't normally think like this though. ,"I gave birth to a child. Before and after that there was not much else regarding medical issues, but that taught me a lot.",All of the doctors I've ever met have been extremely calm and thorough with everything. They always go through procedures and explain exactly what they think and what I should do and why I should do it. I trust them very much and have no reason not to. 
"If I have any kinds of questions,  I ask just to make sure that understand everything.  I don't have any issues.",That fact that there may be something  going on with me that I do not know anything about. Also I'm scared of needles. ,"Looking over some paperwork that my sister had, I had to explain everything to her so that she could understand. ",My doctor takes time and listen to what's going on with me. Takes time and doesn't rush. Takes time to explain
It depends on the language if they use medical words or talk in simple form.  If talked with medical terms I don't ussually understand as i would in short form.,I feel like I know what their going to say.  Also it makes me nervous as there maybe something wrond even when there isn't.,My daughter gets ear infections all the time due to having very small ear canals that don't let her wax drain properly.  So in I know when she has ear infections or when one is about to start to know she will need meds.,She listens to me and she is always available to answer question or to find the answers for me that she may not know.  
"I am pretty confident that I am capable of understanding and processing basic health information and services. I tend to do my research on my own to better understand medication conditions, which helps me with make the necessary decisions.","I only feel anxious when I know there's something wrong with me or I feel terribly ill. When I'm feeling that way, I start worrying that I might have something serious.","When I was 22, I had shingles. Before I got shingles, I had a friend that experienced it when he was 9. That was how I knew I had shingles. So I went to the doctor and I told her I think I have shingles. She told me I was right and that I do have shingles.",I trust my primary care doctor because she does a thorough check with me when I see her for daily check ups. She is always very patient and kind despite how mean some patients can be. She also suggests where I can run tests that won't cost me money. There's never been an incident where I lost my trust in her.
"I feel fairly confident about my ability to obtain and understand basic health information. The medical provider with which I have insurance offers a lot of information on their web sites. When I have an appointment, my doctor always asks what my questions and concerns are first. If I don't understand something, she is good about providing more information and making sure I understand it before I leave.","Even though my overall health is good, I always worry when I go to the doctor that she is going to find something wrong with me. This is not based on any real evidence or health concerns, but I still worry about it quite a bit.","When I gave birth to my second child, I felt I had a much better understanding of newborns and what sort of conditions might crop up. When the doctor told me he had high bilirubin numbers and was slightly jaundiced, I didn't get upset like I did with my first son, because I knew that this was a common occurrence that rarely turned out to be serious. I was able to understand what the doctor was telling me and able to enjoy my son's first few days instead of stressing out.","My doctor seems very competent and knowledgeable. She makes sure to listen to my concerns before discussing treatments. If I have questions about the situation, she answers them thoroughly. She has many years of experience and seems to know what she is talking about."
"I have a great understanding of medical information read, talked by doctor, or by others. If there is something I don't understand I either ask questions or research on my own.",I am not anxious nor worried when visiting the doctor because whatever is going on it can be resolved,I learned a lot about good health from reading medical books and researching online and look at some medical shows,I have had my doctor for a number of years and will go to great lengths to make sure I get the care I need and answers all my questions no matter how they may seem
"I think most of the time, I can handle the information. If I am very ill, or uncomfortable, that affects how much attention I can pay to new medical information.I have, in the past, had doctors repeat things as many times as I needed fr me to understand.","I just don't like going. It's a fear of the unkown, and not wanting there to be anything bad wrong.","I had been injured in a bad car accident and was responsible for my medical care. I trusted my doctor to refer me to good care, and he did. I went to several specialists and was able to heal well.",I trust my doctor to evaluate me and to be honest with me. He is very good at referring me to other good doctors and I trust him to do this.
"I feel like I can understand my doctor or nurse most of the time. However, there have been several occasions when my doctor tried to explain something to me that was over my understanding, or he simply didn't care to try and explain it in a way I could understand. Sometimes I leave with more questions than when I came in. My doctors tend to rush out of the room and I feel like they already have one foot out the door when they speak with me.","I feel anxious about what the problem may be, what the treatment options would be, and any recovery time. I worry about my blood pressure, heart rate, and weight, even though I've never had problem with any of those three. The thing that makes me most nervous is trying to explain to the doctor my illness or pain. I always feel like I'm being judged and I can't explain myself well enough.",My toddler son got sick over the holidays this year. It was a scary ordeal and we called the physician when his fever hit 104. I knew to call if his fever hit this high because of my limited medical experience. We were able to follow the doctor's instructions on our next treatment steps and have him diagnosed. I was able to keep calm and handle this situation because of the knowledge I possess.,"I feel like sometimes my physician takes the extreme treatment option first, as in, wanting to do surgery immediately, versus taking a less invasive option first and seeing if it works. I often feel like my physician has one foot out the door because there are too many other patients waiting to be seen. I would rather weigh all of my options and start with the lest invasive option, and move further up the scale if it is needed."
"I feel confident that I can obtain, process and understand all the basic health information to make the appropriate health decisions. And if I do not understand something then I would ask my doctor.",Worrying about what the doctor will say is the most worrisome. Going through checkups and tests which make me anxious. ,Just learned it through the experiences when I went to see my primary care physician. Learned new things every time I go there for a visit. ,I trust my primary care physician because he is caring and concern about my health throughout the years. He also does an exceptional job taking care of his patients and very loyal to them.
"I am confident that I have the capacity to obtain, process, and understand basic health information when making health decisions. The doctors I see are very helpful and competent in explaining things when I do have questions.",I am particularly uncomfortable with physical examitions and so they make my anxiety flare up.,"In high school, I volunteered at my school's blood drive every semester. When some students doting blood would feel light-headed or dizzy, I knew to have them lie flat on their back with their knees bent to return blood flow to their head. Many of the medical staff were impressed by my immediate and calm response when helping people.","My doctor is very persoble and understanding when I am having problems struggling with depression and anxiety. When I have needed extra help, she has recommended other helpful resources for me to take advantage of, and when I've needed medication changes, she has helped me set up appointments with a psychiatrist."
i am confident that I can understand information presented to me as well as the documents provided to me that require that I complete forms to assist the doctor or medical center have the applicable information to assist them in helping me with my purpose in being there.,I am most worried or anxious when I am discussing new or different symptoms regarding my health.  I feel this way until my doctor and I discuss these concers.,"a pap smear showed cells that could eventually be cancerous.  Based on what I had learned from a previous doctor, I asked the doctor to freeze the cells so that they would not continue to grow and spread. The doctor agreed.",The reason why I trust my primary care physician is because he takes the time to listen to my questions and the information that I share regarding how I am feeling.  He is very concerned and elicits my input when attempting to understand my health concers.
I am very confident in processing written information and information by word of mouth from the doctor,Not knowing what the results or treatment for the illness.  Uncertainty of the side effects of the treatment or medication,"When I had avr surgery and had to take classes on caring for myself, having a proper diet and how to take the medication","I trust my doctor because he has never made a bad medical decision, and he listens to my problems ad concerns"
I feel like I can do it myself without any help. Its not a hard process and I make sure I talk everything over with my dr first,nothing makes me anxious or worried when I go to the drs. itry and take care of myself so I don't have any major issues,i dont know that much about health or medical issues. I dont have any and i donr know anyone who has anything that needs continual treatment,I trust y dr to help me decide whats right for me. She has never steered me wrong and makes sure I'm doing what I need to do
"I feel that being a well-educated person who was a caregiver for an elderly family member that I have a strong knowledge of health and medical information. If I am uncertain about a medical condition or a decision, I feel I have the necessary research capability to find the necessary answers or resources. ","I do not enjoy waiting to be seen and all the little things that must be done (weight, temperature, blood pressure). ","On multiple occasions I have had to accompany family members to either the ER or a doctors appointment. Since I was a caregiver to my great grandmother who had dementia, I had to speak on her behalf about all her medical and health issues.","I feel that doctors are very educated and trained individuals who opinions should be taken into consideration. For serious medical conditions, I believe in obtaining second opinions. I am in general weary of taking prescribed medication."
I feel like when doctors and nurses or medical field workers talk to me or other patients they pretty much know we don't understand medical terminology so most of the time we understand them. ,The results of tests. I'm always just nervous I might be sick but just not aware of it. Those things worry me and make me anxious when taking test at doctors. Other than that I'm only nervous of needles such as getting shots.,I had gastritis not too long ago. I was scared because I did not know why I was in so much pain. I didn't want bad news. It turned out to be something that would pass and not last forever. Just was an eye opener to take better care of myself.,They have been my doctos for awhile I believe it was when they tell me things. They haven't steered me wrong thus far.
I believe I have 100% capacity. I am able to ask questions if I need to and get the answers I am looking for. ,"What might come of the visit. Not seeing my doctor, just what may or may not be wrong.",When I broke my shoulder. I instantly knew I had dislocated it by how it felt and looked and how little I could do ,She always goes above and beyond. She never stops trying until she finds whats wrong. 
"I feel that I am more than capable when I need to obtain, process and understand basic health information and services.  If I am unable to understand something, I will ask for help whether it be from someone else or a medical profession.  Given the right circumstance, I may research it as well.","I had a major illness when I was younger, and it took the doctors a long time to find out what was wrong.  I had to have blood drawn on a daily basis for over a month.  To this day I still hate having blood drawn.  I always look away, and just hate when I have people who aren't that competent drawing blood.  I also worry about what hereditary conditions I may have.","After having gallbladder surgery, I was still having bowel issues.  I researched online and found what the problem was and what could be done to remedy.  I made and appointment with my doctor and described, and he prescribed the medicine and it took care of the problem.","I have gone to him for several years.  He tells it like it is, and doesn't sugar coat it.  When I have concerns I bring them to his attention and he discusses it with me.  I'm an overall healthy person, and see him twice per.  If I am in there outside of the every six months, he knows something is really wrong."
I believe that i am more than capable of obtaining and understanding information about conditions that i have had and basic information about medications that i need to take. I have in the past asked for additional information about prescriptions and uses and side effects of them at time,I feel anxious that maybe i have not taken care of myself as much as i should and that it may have lead to some form of problem that i do not notice that needs to take care of. I have had conditions in the past that i worry may come back,I have a good knowledge of conditions that i have had in the past. There was a time when i had to have a series of test done and through the research to find out what it could be i was able to help the doctor know what test to try,I believe that my doctor has my best interests in mind but at times they have to many patients and to many things going on and they make quick decisions that may not always be the right one even if they think it was at the time  
I am confident that I have the capacity to understand health information and/or services to make appropriate health decisions.,"When I have something that needs to be diagnosed, I worry it might be something worse than it is.  The tests required for diagnosis do not always come back right away, there is a waiting period for results.",My mother has dementia.  I have researched online the different drugs that can be prescribed to slow this process.  I talk to her doctor about changing her prescription when I see that there is no noticeable improvement in her condition.,In the past he has provided me with the medical care I required or has referred me to someone who can give me the care I needed.
"I feel I am capable of understanding any health info and services. I am competent enough to be able to process and access info on my own without help. My reasoning skills and decision making are just as good as anyone else, so I am confident in myself.",Nothing makes me feel anxious at the doctors office. I take any of the bad news to come with stride and try and have a positive outlook whenever I visit the doctors office. I do not fear checkups or any examinations.,"In college I took a health and wellness class as an elective. We studied the human body, environmental risk factors that effect human health and all kinds of sicknesses.","Doctors have received the proper training and certification to perform their job to the best of their abilities. I trust these qualifications enough to trust doctors, but just like every other professions there will be problems. I do not expect everything at a hospital to go right for doctors, but I expect them to treat patients with care."
I have my doctor and nurse to explain things to me using simple term and to take their time when explains my medical problem,I do not feel worry or anxious when I visits my doctors. I place my trust in their hands for my medical care.,"I been a paramedic for the New York Fire  department for 28 years, also been  instructor for 15 years","We build a  trusting and  reliable  relations between us. I been with my doctor now for 15 years, so that how we build our relationship between us."
"I have the capacity, but I am afraid, too. I have great knowledge, but I also have great worry. I tend to wait a long time to get the courage to ask things that I need to ask, but I am trying now.","Because to put it right out there - I don't well I am not used to, physical contact. I have been alone so long, I barely do more than a handshake. I never hug, never am close to anyone. So, when a doc is there checking and taking blood or all that, it is nervous. It is hard. Especially when I need to get an ultrasound on my testicles. As I said..... it is hard.","I have injured myself, through walking, hurt my ankle and foot. Had to get home, take ibuprofen for an antiinflammatory, wrap the foot with a wrap, not too tight, but firm, and then seeing as that provides a cloth layer, put ice against it to help any swelling go down.","I have little trust in anyone. When I ""trust"" it is because I believe it is possible for there to be a better nature of a situation and person, but I believe for the most part people are liars, or truth benders, or they just don't say everything they should, even if they don't lie. It is complicated. All I know is that I do not fully trust anyone, well... I kinda... it is complicated. Anytime I fully opened up to someone and let my guard down they crushed me. So, I keep my guard up always, and trust so litle I barely trust myself, but I try to trust medical professionals as much as I can, I am getting better at it."
I feel pretty confident but sometimes everyone needs help with the more technical parts I feel. Although most won't ask for help ,I do not get really worried attending a doctor visit . I am comfortable with my doctor and trust in his decisions about my health. ,When my wife had a stroke I knew from previously dealing with family members what to expect . So was pleasantly surprised when she beat the averages,He has helped with some of my medical issues when other doctors didn't. He listens well to everything I say and makes you feel comfortable. 
"I hate asking doctors questions because sometimes they are condescending but Ive never had any questions go unanswered. Also, I made it college so I think I can understand a basic description of an illness. I havent had anything particular difficult to deal with so that helps. ",I always feel like this I'm about to get a cancer diagnosis or something. Or they're going to tell me I tested positive for the next black plague. ,I took human anatomy and the lab and I got a 93 and an 80 on the finals. Im not really involved in health or medicine so that's the extent of my experience with it. ,"I facebook stalked my current doctor. I was in search of a black female doctor who was not overly religious to be my primary physician. I truly trust her and know that she has my best interests in mind because she is like me. I don't get the same feeling of controlled condescension that other doctors have and none of the fanaticism some black women are wont to have. It 's just pleasant, and I feel like big pharma cant buy her either. "
"I think I do. Sometimes I don't quite understand how to fill out the forms, because the forms are different depending on the place you are at. My last appointment the forms were different a bit, and I signed in the incorrect place, and they had to redo them. ","I sometimes feel like I am being judged by my doctor. Also, I am anxious that I will be misdiagnosed again. ","I had taken medication for headaches for 7 years,  I did reading online and talked to a friend who was a medical doctor and figured out that the medication was no longer effective for me, but my doctor just kept renewing it anyway. When I talked to her about it then she re looked at my charts and officially took me off of it. ","I was on a medication for 7 years that I really did not need. I did some of my own research and asked my doctor about it, and she took me off of it. Ever since, I have had trouble trusting her. "
"Whenever I need to communicate with physicians, nurses, or other healthcare professionals, I make sure that they explain everything to me so I understand and know what is going on. I don't have any issues with my ability to comprehend or process information at all. I make an effort to keep myself informed about possible health issues and I try to communicate with doctors or nurses effectively. ","I get really anxious about all aspects of visiting a doctor's office. I'm usually very nervous before I even get there. I dread getting weighed. I'm always worried that they will find something seriously wrong with me, even if I'm just there for a minor illness or an annual physical. ","Several years ago, I was vomiting and having severe abdominal pain. It felt different than just the flu or any other common illness. I had suspected that it was appendicitis, so I went to the hospital and the doctors confirmed that it was appendicitis. ","My doctor is always very thorough when I see him. I've never had any issues with him, like being misdiagnosed or given a medication that I reacted badly to. I've generally had a positive experience with my current primary care physician. I trust that he knows what he is doing. "
"I feel like I fully understand basic health information. Sometime I do have questions, but I make sure to address them. I also use online resources as needed.",I worry about what could be wrong with me.  It's not the doctor that makes me nervous. It's dealing with sickness.,"Once I was having problems with murder blood pressure. It would go up more after I checked it. After reading online and seeing my Dr, turns out to be anxiety. So I stopped checking my blood pressure because it was making it worse.",I trust my doctor because he cares about my diet. He also encourages me to exercise regularly. He is less likely to prescribe me medicines that I don't need.
"I feel like I have the ability to obtain, process, and understand basic health information and services needed to make the appropriate health decisions because I have a lot of resources. Unlike others, I do not have to pay to get medical assitance at no point and time. If there is something wrong with me I can get help immediately. If I ask specific questions about my health, they get answered right away or a day or two later. My results always come back in a timely manner so I do not have to sit and wait for long. ",What makes me feel most anxious and nervous is the fact that they do not always explain to you what they are doing.,"When I was pregnant with my first child. I had no idea what to expect when it was time to give birth. When I was in labor, in the back of my mind I could hear my doctor saying that I have to stay calm or else the baby's heartbeat would drop. I kept taking long deep breaths even though the pain was harsh. I was swaying back and forth, walking back and forth, trying not to tense, trying not to hold my breath. I did all of this because these were stuff that I was told to do by my physician throughout my pregnancy. ",I do not trust my primary care physician completely because when all is said and done he working for money. People are very money hungry these days. I am not his relative or family so I do not believe he is completely genuine when it comes to me. I think he just doing his job.
I can comprehend  basic health I formation and can make decisions if I have the necessary and correct information.,My blood pressure always goes up at doctors.  Know will have to wait for results.  Sometimes doctor acts like his time is more important than you,Helped my mother with her cancer.  Learned a lot about lymphoma and leukemia.  Also about chemotherapy and blood tests of red and white blood cells.,Feel doctors treat overweight patients a little differently.  Also led some by drug and insurance companies. Too many unnecessary tests.
"I am capable of reading , processing, and understanding all the information I need for making appropriate health decisions.",Nothing makes me feel worried except maybe for the amount they will charge for the visit and feel more irritated than anxious if the wait is really long.,I can't think of any experiences in order to give an answer. So this does not pertain to me. Maybe knowing how to fill out the paper work other than that I have no medical problems that I had to deal with.,I do not have complete trust  or distrust for doctors but I feel most are more about making a buck than they are about caring for their patients.
"I think I have ample ability to gather and use medical information. I'm reasonably well-educated, such that even if I don't know what something means, I would be able to look it up and understand the definition.","I don't like the impersonality there often is when being examined. It feels, sometimes, like being a car or something else that is being checked for malfunctions, rather than a person: the way you are led to a room and have to sit around waiting for the doctor, for instance. It also feels somewhat invasive to be examined in that way, and that makes me self-conscious.","When my mother in law had a heart attack, one of the first things I did was make sure she had taken some aspirin. I know that, because it's a blood thinner, aspirin can help with heart attacks and improve people's chances.","I feel that doctors are generally trustworthy. As human beings, they do have biases, and they do make mistakes, so it's important for patients to educate themselves, ask questions, and so on, but on average I feel people in the medical profession can be trusted to know how to do their jobs."
I ask a lot of questions when I visit my doctor and have follow up questions if I don't understand his answer.,Everyone gets that white coat syndrome when they visit their doctor. I only go for my yearly check-up so being a little nervous is normal,"Someone passed out during a performance, advised to elevate their feet to get blood flow to their brain.","My doctor takes time to listen to my questions and explains things in simple terms. He is very kind, compassionate and patient."
I feel like I do a good job at asking enough questions to understand what is being told to me and if I have to do something to fix it. I usually do my research and would call back to talk to my doctor or a nurse and understand more if I have questions. For the most part I think I retain a lot of what they say to me. ,"I mostly worry about the germs I'm getting sitting in the waiting room. I also do not enjoy the shots that come along with physicals. They tend to give me anxiety but I do not necessarily have a problem with the doctor, nurse, or the wait time when I do have an appointment. ","When I was 6 I was diagnosed with ADD. However, my parents didn't believe it was a real thing and I certainly did not want to be that kid who had to take medicine and stuff to be smart so we went about 4 years struggling in school and at home before we decided to do our own research and I fit a lot of the criteria. When I started my medicine it was nota  good experience. I tried about 8 different kinds before I found one that worked for me. It was a lot of going back and forth and working with the doctor to find the best approach for me and to figure out what to do. ",I do trust my doctors. I went to the same doctor for 21 years and when I turned 21 I was referred to a new doctor by my old doctor who I had good communication with and I believe that he referred me to a new doctor because he understood what I needed as a patient and that this doctor could help me. 
I feel like I have complete and utter confidence in myself to understand basic information health information and services needed to make appropriate health decisions,I do not feel anxious or worried when visiting the doctors office. I find it easier to remain calm and trust in the care of doctor.,"Anatomy class senior year of high school, I studied many medical issues of variouus different natures.","I do not have a personal opinion on how trustworthy my primary is. I assume if they would like to continue in their profession, then they will obviously be trustworthy. Then again this is America haha"
I feel like I am usually capable of understanding all of the information that I am given by my doctor and I am confident enough to ask questions when I do not understand it. ,I am sometimes worried that she will judge my life choices or tell me that I am seriously sick. I once had a doctor fat shame me. ,I recently went to the doctor because I had lost 20 pounds unintentionally. My doctor thought it might be related to a thyroid problem but I want to get my cortisol checked to see if it was an adrenal issue. She then ordered both of those tests. ,I believe that she is kind and caring and will use her best judgement in my treatment. Obvious she does not know everything about me but she tries to get to know me as best she can. 
"I feel if the information is presented in an organized self explanatory manner (i.e., easy to understand/layman's terms outline), I  wouldn't have any issues in completing the questions.","If I have taken a particular test/exam that could have serious ramifications, just waiting for the answer/results to this can be of great concern, can make me feel anxious or worried.","I have been diagnosed with carpal tunnel syndrome.  Therefore, I've researched the symptoms and possible remedies besides surgery to alleviate the pain and numbness that comes as a result of this issue.","I have somewhat trust in my primary care physician.  However, I've only seen him once in two years.  The process now is to see a physician assistant rather than the doctor."
I feel that I have a good grasp of the information that my doctor gives me on my medical conditions. Sometimes the doctor doesn't give me all the information I need,I feel most anxious about the cost of the procedures that my doctor may prescribe. Sometimes my doctor wants tests run that I can't afford ,"When my husband was diagnosed with diabetes, I understood what readings his blood sugar should be. I was able to help him understand this.","My doctor is a good doctor, but her staff is not very responsive to patients needs. She doesn't understand my personal problems as well as she should."
"I am able to understand all information that is told to me or discussed with me.  I love brochures or printouts that they give me to help me understand further.  Finally, I absolutely prefer to see nurse practitioners and other providers who take the time to explain things to me.",I am nervous about my weight and what they will say to tell me to lose it.  I get anxious that I will be judged.  I hate putting on a thin gown and the office always seems cold.  I hate the paper and waiting an undisclosed amount of time.,"When I had my children, the first two were normal, easy pregnancies and spontaneous vaginal deliveries with no complications.  The babies had no problems and I was able to breastfeed easily.  My last baby had health complications during pregnancy (elevated blood pressure), during delivery (preeclampsia) and postpartum bleeding and trouble breastfeeding.",I see my nurse practitioner instead of my doctor as my primary care provider.  I trust health care providers that are intelligent and kind and I prefer to understand all aspects before engaging in care.
"I feel comfortable reading complicated documents and sifting through insurance information, policies, and procedures. I sometimes lack the confidence to ask the doctor all of the questions I have because I feel bad taking up too much of their time. That is something I need to work on. ",I just don't like waiting. I am in pretty good health so I'm not really worried that something terrible is going to turn up. I am always a bit anxious to find out my weight since I have struggled with it in the past. ,My brother has type I diabetes. He recently came to visit and in the morning he was unresponsive. I knew that his blood sugar must be low because he was incoherent and combative. I called 911 and when the paramedics arrived I explained what had happened and they were able to quickly check his blood sugar and give him a glucose drip to bring it back up. ,"I have always had a good experience with my PCP. She's about my age, which makes me sometimes wish that she had a bit more experience. She always listens to what I have to say although sometimes I feel like she is a bit rushed and just wants to wrap up the appointment. I've never had anything serious come up that she had to treat me for. "
I feel confident in being able to understand basic health information and services because I find that the forms are rarely difficult to follow and I have no problem asking questions and figuring what I need to do/understand my health.,It scares me that there might be something wrong with me or sometimes I'm worried that I'm going to get embarrassed because the doctor will point out that I'm practicing poor health habits or something.,"I was abroad over the summer in a third-world country (Bangladesh) when my skin started getting swollen, itchy, dry and irritated. I recognized this as eczema as I had childhood issues with it before, and bought hydrocortisone to treat it, which worked.",I think most doctors have the best intentions and do truly want to help but I feel like they are put in the position where they are not allowed to give their patients the time they need to in order to do their job thoroughly.
I'm usually able to understand what is told to me. I have a background in healthcare which helps me to better grasp concepts.,I get anxious when seeing my gynecologist.  I don't like the procedures. My doctor makes me comfortable,I was able to correctly identify the type of headaches I was having before my appointment with y doctor.,My doctor is honest and gives me options. She listens and is patient. My doctor informs me of everything.
I feel that I still presently have the capacity to comprehend just about anything that a healthcare professional may want to tell me.  I feel that I still have the brain capacity to make informed decisions that involves my health and welfare.,I have copd and it is a illiness that has no known treatments that will cure the illiness.  I know that I am living on borrowed time and I am going downhill fast. each time I see the doctor and I hear that my condition has worsened I worry about how much time I have left.,I have done enough research and had the time to research my condition to make a reasonable assumption of my medical condition.,I trust my doctor because I have informed myself of options and treatment prior to my doctors appointments.  that way I can listen to his proposals of treatment and decide in a positive way if I think he is on top of my situation and treatments.
I feel like I understand the doctorÃ¢ÂÂs and nurseÃ¢ÂÂs explanations sometimes. The only hardship that I have when they use medical terminologies or expressions that I am not familiar with. Anytime when this happens I can just ask them for further explanation and they help me understand the situation better most of the time. The only thing that I really do not like is that I feel that the doctors are always in a rush and by the time you have a question they have already left. This is not personal it is because of the healthcare system is about the money as well.,My main concern is to find out that I have some really serious disease. However it is always better to know and start looking for the treatment or the setup a plan than not being aware and realizing it too late. The other thing that is very upsetting is the costs of the treatments. It is always expensive to go to the doctor and getting the necessary examinations. I do not understand how people are able to afford medical treatments. It is way to overpriced and after that you will live and work to pay back the costs of your medical treatment.,I had a torn ACL last summer. This was a result of a prior ACL injury that I had in the past. When I got hurt last summer I knew it is going to be my ligament and that I am going to need to have a surgery most likely. I felt the damage in my knee and I know it is going to be very serious. When I went to see a doctor he told me the same thing that this is going to be ligament and/or meniscus. I ended up having both. Bot I got it fixed and now it feels better.,"I trust my doctor because I do not really have a better option. If I am sick I have to go and visit him hoping that he can figure it out how to get better. But on the other hand health care system is lead by money so it all comes to the end where it is about our pocket. If everyone would be healthy then hospitals, health care providers, doctors etc. would be in a big trouble. No customer means no paycheck. So till a certain extent they must have patients. Health care system does not create cure. It creates consumers."
"I was told I am diabetic and I wanted to know in details what it meant, what the next step would be and if I needed to start taking medication. ",When my doctor is checking my weight I get worried because I am trying to lose weight to control my diabetes ,"after being told I have diabetes and learning from both my doctor and reading website, I was better able to understand and mage my diabetes. My diabetes is now what my doctor calls controlled diabetes. ",I trust my physician because she is caring and honest. She is open and you can talk to her about any of your health concern and she will give her honest advice on what should or shouldn't be done. 
"I'm not too sure I know that its good already, I know what I need to do to understand and fill out my own paperwork","I just don't like going to the doctors office, I rather take care of my self before I need to go to the doctor. If things are really important then I will go into the doctor","I know that everything is good, and when i need to go into the doctor then i will besides the fact that i get sick i rather take care of everything myself at home","They are my doctor for a reason, they know what they are doing and I understand everything, and they know what to do when I am sick and need help."
My parents were in the health field and I worked in my fathers drugstore for years. I also at one time studied to become a respitory therapist but went into a creative field instead. I understand medical terminology and a great deal about health insurance.,I'm never worried or anxious about exams. I usually know what and why I am having them so there is no nervousness or anxiety ,I have thyroid issues hyperthyroidism that treated with radiation has bought me too hypothyroidism which I control with levothyroxine daily for past 20 plus years,Been with my doctor for over 15 years. She has always been thorough and forthright with me concerning my health and the decisions  I need to make regarding my health. 
I can comprehend a lot of my medical information and if there are things I don't understand then I ask my doctor. ,Thinking that there's a slight possibility of receiving bad news is usually almost always nerve racking. ,My doctor makes sure that I recap information given to me back to her and she helps confirm whether the information was properly received or not,My primary care doctor is honest with me and we create goals together. These goals are used to create feasible objectives and 'Small steps' to work on. 
"I feel that I am perfectly capable of obtaining, processing and understanding basic health information and services need to make appropriate health decisions.   As a leukemia survivor, I have lots of practice taking in medical advice from doctors and doing my own research to make decisions.  ",My doctor does his best to provide a calm and non-threatening environment.  Worries or anxiousness comes from my own uncertainty about my condition.,"As a twenty-something, I was diagnosed with leukemia.  I was not married and lived away from my family, so I had to rely on myself.  I managed to find the right doctors with the approaches that best fit my life and goals.","My primary care physician is thoughtful and absolutely does his best to give good advice.  At the end of the day, though, medical decisions are my decision, and  I need to do my own thinking and research about serious conditions."
I feel that it is quite easy for me to obtain and process basic health information. I ask as many questions that come to mind when I inquire about my health. I also am proficient at using online resources to understand any condition I may have and what might be my best options.,I still fear needles so I feel anxious when anything with needles is required. This includes vaccines and blood tests. Even the prick finger tests make me fear.,I am trained as a medical assistant so I have to be educated on many health facts and matters. I also am currently majoring in public health.,I trust my doctor because of the relationship I have built over the years. Also my doctor has a stable client base and they have never misdiagnosed or prescribed anything I would refer to as unecessary.
"I feel fully confident that I understand my medical situation and if I don't understand, I feel fully confident in my ability to ask questions.",I would only feel anxious when visiting the doctors office if I were expecting some unsettling diagnosis. I am pretty healthy and have no reason to expect unsettling results.,I had a skin cancer lesion on my face and I had it removed. I took very good care of the wound and followed the doctors orders explicitly,I think he listens to me and I trust him very much. He is thoughtful and takes the time needed to discuss conditions with me. He is a respected doctor and takes the time to answer all of my questions
When the information is basic and in lamens terms I can understand it enough to have an idea of what is happening. Most of the words they use to identify medical issues are confusing and even the internet doesn't have a clear answer that I can understand. I sometimes ask my nurse friends if they can help me understand it too. ,I'm worried that they won't look for what is wrong with me and think it is all in my head. I'm scared they might find something bad wrong with me and I'm terrified of having painful procedures and tests done. ,I have endometriosis and had some of my female organs removed but some were left in me. I was able to recognize the signs and symptoms of the endometriosis flaring up and getting worse on my own and was able to make an appointment and my doctor confirmed I was correct. ,Sometimes I feel like the doctor doesn't believe me when I say I have a problem and she makes excuses as to why I couldn't have this issue because of my age etc. She doesn't even try to find out if there is an underlying issue and just thinks I want drugs which makes it hard for me to get treated for things. 
